Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
4716,3,0,2,1,0,1,-2
190,2,1,0,1,0,1,1
4783,9,1,3,2,3,-1,-2
4754,1,0,1,0,0,0,-1
2424,1,0,1,0,0,0,-1
2363,1,0,1,0,0,0,-1
1318,1,0,0,0,1,-1,0
2052,1,0,0,0,1,-1,0
4060,2,0,0,1,1,0,0
4982,1,0,1,0,0,0,-1
4985,1,0,1,0,0,0,-1
1756,1,0,0,0,1,-1,0
3937,1,0,0,0,1,-1,0
365,2,0,0,1,1,0,0
3191,1,0,1,0,0,0,-1
5012,1,0,0,0,1,-1,0
494,1,0,0,0,1,-1,0
604,1,0,1,0,0,0,-1
4991,1,0,1,0,0,0,-1
3309,1,0,0,0,1,-1,0
488,1,0,1,0,0,0,-1
4945,1,0,1,0,0,0,-1
955,1,0,0,0,1,-1,0
4965,1,0,0,0,1,-1,0
3316,1,0,0,0,1,-1,0
5137,1,0,1,0,0,0,-1
5145,1,0,1,0,0,0,-1
4967,3,1,1,0,1,-1,0
1683,1,0,0,0,1,-1,0
2481,1,0,0,0,1,-1,0
303,2,0,1,1,0,1,-1
1610,1,0,0,0,1,-1,0
857,1,0,0,0,1,-1,0
4536,2,0,2,0,0,0,-2
4063,1,0,1,0,0,0,-1
4940,4,1,1,0,2,-2,0
2337,3,1,1,0,1,-1,0
384,1,0,1,0,0,0,-1
1730,2,0,0,1,1,0,0
4488,1,0,0,0,1,-1,0
5098,2,0,0,1,1,0,0
5033,2,0,1,0,1,-1,-1
4777,5,0,1,3,1,2,-1
4917,10,3,2,1,4,-3,1
4943,5,0,1,3,1,2,-1
5032,12,3,2,5,2,3,1
4519,11,1,3,5,2,3,-2
254,4,1,0,0,3,-3,1
5039,6,1,1,1,3,-2,0
4525,9,0,4,3,2,1,-4
3949,3,0,1,0,2,-2,-1
4678,9,4,0,2,3,-1,4
4907,7,2,1,2,2,0,1
4992,14,2,3,6,3,3,-1
1285,12,1,1,1,9,-8,0
3954,3,0,1,2,0,2,-1
4601,3,1,0,2,0,2,1
4467,2,0,0,1,1,0,0
4050,2,1,0,0,1,-1,1
3955,1,1,0,0,0,0,1
4484,2,1,0,0,1,-1,1
156,1,0,0,1,0,1,0
2028,1,0,1,0,0,0,-1
3410,2,1,0,0,1,-1,1
1501,4,0,1,1,2,-1,-1
1218,2,0,0,0,2,-2,0
620,1,0,1,0,0,0,-1
4615,3,0,1,1,1,0,-1
4514,1,0,0,0,1,-1,0
3962,1,0,0,0,1,-1,0
4032,1,0,1,0,0,0,-1
4266,1,1,0,0,0,0,1
4049,1,0,0,1,0,1,0
4027,1,0,0,1,0,1,0
4547,2,0,2,0,0,0,-2
4289,1,0,0,1,0,1,0
4753,1,0,0,1,0,1,0
3957,1,0,1,0,0,0,-1
4150,3,0,0,1,2,-1,0
3352,2,0,1,0,1,-1,-1
5431,1,0,1,0,0,0,-1
2491,1,0,0,0,1,-1,0
3507,1,0,0,0,1,-1,0
2767,1,0,0,0,1,-1,0
5437,1,0,1,0,0,0,-1
829,1,0,0,0,1,-1,0
193,2,0,1,0,1,-1,-1
5402,1,0,0,0,1,-1,0
1768,1,1,0,0,0,0,1
3140,1,1,0,0,0,0,1
5458,1,0,0,1,0,1,0
3653,1,0,0,1,0,1,0
3536,1,1,0,0,0,0,1
3566,1,0,0,1,0,1,0
4253,2,1,0,1,0,1,1
3512,1,0,1,0,0,0,-1
1717,1,0,0,0,1,-1,0
2630,1,0,0,0,1,-1,0
3881,1,0,1,0,0,0,-1
3844,1,0,1,0,0,0,-1
2130,1,0,0,0,1,-1,0
329,1,0,0,0,1,-1,0
1024,2,0,0,0,2,-2,0
1986,3,0,0,0,3,-3,0
5689,5,0,1,3,1,2,-1
5515,1,0,1,0,0,0,-1
4381,2,0,1,1,0,1,-1
5546,1,0,0,0,1,-1,0
144,1,0,0,0,1,-1,0
1369,1,0,1,0,0,0,-1
1625,1,0,1,0,0,0,-1
4911,1,0,0,0,1,-1,0
1592,1,0,0,0,1,-1,0
4183,1,0,1,0,0,0,-1
5291,1,0,1,0,0,0,-1
2834,1,0,0,0,1,-1,0
5465,1,0,0,0,1,-1,0
4946,16,5,3,4,4,0,2
5631,1,0,0,1,0,1,0
5580,1,0,1,0,0,0,-1
5759,1,0,0,0,1,-1,0
5092,3,0,2,1,0,1,-2
4939,14,2,5,2,5,-3,-3
5076,3,0,0,2,1,1,0
4914,5,1,1,1,2,-1,0
5519,3,0,1,1,1,0,-1
5680,5,1,2,1,1,0,-1
5581,2,0,1,1,0,1,-1
5699,5,2,1,2,0,2,1
5776,4,0,1,3,0,3,-1
4951,13,1,3,2,7,-5,-2
5598,1,0,1,0,0,0,-1
5288,5,1,2,1,1,0,-1
2959,2,1,0,1,0,1,1
3175,1,0,0,1,0,1,0
3598,2,0,1,1,0,1,-1
4923,1,0,0,1,0,1,0
4618,7,2,1,1,3,-2,1
5589,2,0,1,0,1,-1,-1
4938,5,1,1,2,1,1,0
4920,8,1,2,2,3,-1,-1
5408,4,1,1,2,0,2,0
4976,22,2,5,3,12,-9,-3
4617,5,0,1,0,4,-4,-1
5426,4,0,2,0,2,-2,-2
4921,2,0,1,0,1,-1,-1
4903,12,2,4,2,4,-2,-2
